,Year-Week,Total incidence
113,2007-43,0.32
114,2007-44,0.26
115,2007-45,0.41
116,2007-46,0.51
117,2007-47,0.61
118,2007-48,0.79
119,2007-49,0.89
120,2007-50,1.2
121,2007-51,1.89
122,2007-52,2.92
123,2008-01,4.56
124,2008-02,5.98
125,2008-03,6.54
126,2008-04,6.95
127,2008-05,7.21
128,2008-06,6.95
129,2008-07,6.61
130,2008-08,6.32
131,2008-09,5.62
132,2008-10,4.13
133,2008-11,2.75
134,2008-12,1.92
135,2008-13,1.34
136,2008-14,0.97
137,2008-15,0.68
138,2008-16,0.48
139,2008-17,0.31
140,2008-42,0.28
141,2008-43,0.27
142,2008-44,0.32
143,2008-45,0.43
144,2008-46,0.48
145,2008-47,0.62
146,2008-48,0.76
147,2008-49,0.89
148,2008-50,1.15
149,2008-51,1.56
150,2008-52,2.0
151,2009-01,3.18
152,2009-02,4.4
153,2009-03,6.28
154,2009-04,8.23
155,2009-05,7.64
156,2009-06,6.64
157,2009-07,5.13
158,2009-08,4.17
159,2009-09,3.74
160,2009-10,2.91
161,2009-11,2.15
162,2009-12,1.73
163,2009-13,1.44
164,2009-14,1.16
165,2009-15,0.76
166,2009-16,0.58
167,2009-17,0.49
168,2009-18,0.45
169,2009-19,0.55
170,2009-20,0.46
171,2009-21,0.38
172,2009-22,0.32
173,2009-23,0.22
174,2009-24,0.19
175,2009-25,0.16
176,2009-26,0.17
177,2009-27,0.12
178,2009-28,0.12
179,2009-29,0.18
180,2009-30,0.26
181,2009-31,0.24
182,2009-32,0.18
183,2009-33,0.17
184,2009-34,0.17
185,2009-35,0.25
186,2009-36,0.29
187,2009-37,0.37
188,2009-38,0.47
189,2009-39,0.74
190,2009-40,1.05
191,2009-41,1.48
192,2009-42,1.76
193,2009-43,4.49
194,2009-44,9.31
195,2009-45,12.65
196,2009-46,12.92
197,2009-47,11.02
198,2009-48,6.72
199,2009-49,3.76
200,2009-50,2.25
201,2009-51,1.84
202,2009-52,1.32
203,2009-53,1.29
204,2010-01,1.36
205,2010-02,1.47
206,2010-03,1.67
207,2010-04,1.91
208,2010-05,2.0
209,2010-06,2.12
210,2010-07,2.07
211,2010-08,1.98
212,2010-09,1.81
213,2010-10,1.65
214,2010-11,1.38
215,2010-12,1.28
216,2010-13,1.05
217,2010-14,0.93
218,2010-15,0.82
219,2010-42,0.72
220,2010-43,0.81
221,2010-44,0.82
222,2010-45,0.94
223,2010-46,1.07
224,2010-47,1.28
225,2010-48,1.42
226,2010-49,1.71
227,2010-50,2.32
228,2010-51,3.16
229,2010-52,4.4
230,2011-01,4.98
231,2011-02,6.44
232,2011-03,8.2
233,2011-04,10.41
234,2011-05,11.04
235,2011-06,10.05
236,2011-07,7.77
237,2011-08,5.45
238,2011-09,4.12
239,2011-10,3.1
240,2011-11,2.1
241,2011-12,1.63
242,2011-13,1.14
243,2011-14,0.94
244,2011-15,0.82
245,2011-16,0.67
246,2011-17,0.52
247,2011-42,0.47
248,2011-43,0.54
249,2011-44,0.53
250,2011-45,0.72
251,2011-46,0.89
252,2011-47,1.14
253,2011-48,1.29
254,2011-49,1.36
255,2011-50,1.76
256,2011-51,2.2
257,2011-52,3.07
258,2012-01,3.13
259,2012-02,4.24
260,2012-03,6.3
261,2012-04,8.86
262,2012-05,9.64
263,2012-06,8.87
264,2012-07,7.14
265,2012-08,5.75
266,2012-09,4.03
267,2012-10,2.95
268,2012-11,2.13
269,2012-12,1.49
270,2012-13,1.13
271,2012-14,0.85
272,2012-15,0.84
273,2012-16,0.68
274,2012-17,0.46
275,2012-42,0.34
276,2012-43,0.46
277,2012-44,0.51
278,2012-45,0.69
279,2012-46,0.77
280,2012-47,0.89
281,2012-48,1.07
282,2012-49,1.31
283,2012-50,1.67
284,2012-51,2.24
285,2012-52,2.56
286,2013-01,3.52
287,2013-02,5.18
288,2013-03,6.64
289,2013-04,8.25
290,2013-05,9.57
291,2013-06,9.99
292,2013-07,9.72
293,2013-08,9.24
294,2013-09,7.68
295,2013-10,5.94
296,2013-11,4.31
297,2013-12,3.2
298,2013-13,2.22
299,2013-14,1.56
300,2013-15,1.14
301,2013-16,0.73
302,2013-17,0.51
303,2013-42,0.36
304,2013-43,0.46
305,2013-44,0.46
306,2013-45,0.67
307,2013-46,0.77
308,2013-47,0.95
309,2013-48,1.23
310,2013-49,1.42
311,2013-50,1.71
312,2013-51,1.95
313,2013-52,2.23
314,2014-01,2.96
315,2014-02,4.12
316,2014-03,5.05
317,2014-04,5.79
318,2014-05,6.55
319,2014-06,6.67
320,2014-07,6.27
321,2014-08,5.54
322,2014-09,4.73
323,2014-10,3.94
324,2014-11,3.38
325,2014-12,2.88
326,2014-13,2.07
327,2014-14,1.64
328,2014-15,1.23
329,2014-16,0.9
330,2014-17,0.55
331,2014-42,0.35
332,2014-43,0.48
333,2014-44,0.65
334,2014-45,0.81
335,2014-46,0.85
336,2014-47,1.03
337,2014-48,1.23
338,2014-49,1.42
339,2014-50,1.75
340,2014-51,2.25
341,2014-52,2.63
342,2015-01,4.09
343,2015-02,6.14
344,2015-03,8.94
345,2015-04,10.87
346,2015-05,10.58
347,2015-06,9.98
348,2015-07,8.22
349,2015-08,6.89
350,2015-09,5.47
351,2015-10,4.35
352,2015-11,3.73
353,2015-12,3.21
354,2015-13,2.44
355,2015-14,1.9
356,2015-15,1.48
357,2015-16,1.15
358,2015-17,0.75
359,2015-42,0.4
360,2015-43,0.5
361,2015-44,0.68
362,2015-45,0.76
363,2015-46,0.88
364,2015-47,1.02
365,2015-48,1.16
366,2015-49,1.21
367,2015-50,1.45
368,2015-51,1.66
369,2015-52,2.11
370,2015-53,1.87
371,2016-01,2.39
372,2016-02,2.76
373,2016-03,3.62
374,2016-04,4.73
375,2016-05,5.47
376,2016-06,6.06
377,2016-07,5.9
378,2016-08,6.14
379,2016-09,5.88
380,2016-10,5.83
381,2016-11,5.0
382,2016-12,4.23
383,2016-13,3.18
384,2016-14,2.3
385,2016-15,1.85
386,2016-16,1.19
387,2016-42,0.59
388,2016-43,0.71
389,2016-44,0.81
390,2016-45,0.98
391,2016-46,1.25
392,2016-47,1.58
393,2016-48,2.0
394,2016-49,2.52
395,2016-50,4.31
396,2016-51,7.24
397,2016-52,9.55
398,2017-01,9.09
399,2017-02,8.7
400,2017-03,7.62
401,2017-04,6.62
402,2017-05,5.65
403,2017-06,4.25
404,2017-07,3.2
405,2017-08,2.64
406,2017-09,2.19
407,2017-10,1.76
408,2017-11,1.48
409,2017-12,1.23
410,2017-13,1.03
411,2017-14,0.86
412,2017-15,0.67
413,2017-16,0.59
414,2017-17,0.54
415,2017-42,0.89
416,2017-43,0.85
417,2017-44,0.95
418,2017-45,1.24
419,2017-46,1.6
420,2017-47,1.85
421,2017-48,2.38
422,2017-49,3.11
423,2017-50,4.73
424,2017-51,7.2
425,2017-52,11.45
426,2018-01,13.8
427,2018-02,14.74
428,2018-03,13.88
429,2018-04,12.69
430,2018-05,10.72
431,2018-06,8.96
432,2018-07,7.13
433,2018-08,6.24
434,2018-09,4.75
435,2018-10,3.62
436,2018-11,2.62
437,2018-12,2.16
438,2018-13,1.72
439,2018-14,1.31
440,2018-15,1.08
441,2018-16,0.87
442,2018-17,0.62
